Date;Value
2022-03-31;548.52
2022-04-01;483.12
2022-04-02;398.35
2022-04-03;367.55
2022-04-04;401.27
2022-04-05;483.39
2022-04-06;572.38
2022-04-07;572.41
2022-04-08;502.98
2022-04-09;425.12
2022-04-10;387.0
2022-04-11;433.95
2022-04-12;526.45
2022-04-13;580.94
2022-04-14;596.61
2022-04-15;523.7
2022-04-16;438.24
2022-04-17;400.23
2022-04-18;455.32
2022-04-19;547.34
2022-04-20;611.98
2022-04-21;609.11
2022-04-22;550.55
2022-04-23;468.7
2022-04-24;448.26
2022-04-25;483.15
2022-04-26;559.75
2022-04-27;646.52
2022-04-28;637.98
2022-04-29;564.22
2022-04-30;492.7
2022-05-01;455.36
2022-05-02;493.21
2022-05-03;578.77
2022-05-04;651.14
2022-05-05;658.17
2022-05-06;587.01
2022-05-07;508.55
2022-05-08;481.12
2022-05-09;517.66
2022-05-10;602.81
2022-05-11;674.58
2022-05-12;676.59
2022-05-13;613.32
2022-05-14;530.76
2022-05-15;495.78
2022-05-16;532.53
2022-05-17;619.27
2022-05-18;689.13
2022-05-19;702.21
2022-05-20;632.36
2022-05-21;557.66
2022-05-22;513.15
2022-05-23;546.49
2022-05-24;640.75
2022-05-25;712.62
2022-05-26;706.13
2022-05-27;639.71
2022-05-28;572.07
2022-05-29;524.2
2022-05-30;557.24
2022-05-31;649.85
2022-06-01;723.11
2022-06-02;720.9
2022-06-03;654.85
2022-06-04;577.03
2022-06-05;523.02
2022-06-06;572.42
2022-06-07;658.8
2022-06-08;742.95
2022-06-09;729.41
2022-06-10;662.58
2022-06-11;574.88
2022-06-12;548.66
2022-06-13;575.71
2022-06-14;667.74
2022-06-15;738.7
2022-06-16;731.28
2022-06-17;677.09
2022-06-18;591.4
2022-06-19;548.93
2022-06-20;588.53
2022-06-21;673.01
2022-06-22;743.61
2022-06-23;755.4
2022-06-24;674.84
2022-06-25;589.41
2022-06-26;546.45
2022-06-27;589.19
2022-06-28;678.17
2022-06-29;744.69
2022-06-30;746.85
2022-07-01;667.03
2022-07-02;592.01
2022-07-03;559.92
2022-07-04;599.33
2022-07-05;679.26
2022-07-06;745.25
2022-07-07;740.78
2022-07-08;667.88
2022-07-09;594.12
2022-07-10;547.65
2022-07-11;591.91
2022-07-12;669.56
2022-07-13;743.66
2022-07-14;740.94
2022-07-15;670.7
2022-07-16;582.82
2022-07-17;549.54
2022-07-18;582.56
2022-07-19;666.13
2022-07-20;727.18
2022-07-21;734.38
2022-07-22;661.92
2022-07-23;574.52
2022-07-24;539.53
2022-07-25;578.06
2022-07-26;656.09
2022-07-27;727.94
2022-07-28;729.6
2022-07-29;657.37
2022-07-30;573.55
2022-07-31;524.65
2022-08-01;556.25
2022-08-02;649.23
2022-08-03;715.98
2022-08-04;699.98
2022-08-05;648.4
2022-08-06;543.6
2022-08-07;521.38
2022-08-08;548.5
2022-08-09;631.89
2022-08-10;701.83
2022-08-11;687.35
2022-08-12;624.12
2022-08-13;527.53
2022-08-14;497.58
2022-08-15;524.14
2022-08-16;616.71
2022-08-17;687.7
2022-08-18;670.62
2022-08-19;605.53
2022-08-20;520.61
2022-08-21;474.87
2022-08-22;507.25
2022-08-23;593.21
2022-08-24;662.07
2022-08-25;663.27
2022-08-26;585.83
2022-08-27;509.6
2022-08-28;461.25
2022-08-29;503.33
2022-08-30;582.73
2022-08-31;635.98
2022-09-01;624.47
2022-09-02;573.17
2022-09-03;478.0
2022-09-04;430.75
2022-09-05;472.79
2022-09-06;557.26
2022-09-07;612.53
2022-09-08;620.82
2022-09-09;547.41
2022-09-10;456.75
